			before		after
			0.1425		0.0747
			0.0164		0.0039
			0.0132		0.0042
			0.0128		0.0045
			0.0717		0.0083
			0.0165		0.0054
			0.0218		0.006
			0.0243		0.0059
			0.0128		0.0052
			0.025		0.0074
			0.0226		0.007
			0.026		0.0077
			0.0242		0.0074
			0.035		0.009
			0.0324		0.0082
			0.0354		0.0088
			0.0244		0.0077
			0.0265		0.0079
			0.0272		0.008
			0.0229		0.0075
			0.0286		0.0087
			0.0257		0.007
			0.0296		0.0083
			0.0313		0.0089
			0.0301		0.0089
			0.033		0.0081
			0.0324		0.0081
			0.0316		0.0082
			0.0316		0.0081
			0.031		0.008
			0.0303		0.0081
			0.0299		0.0077
			0.0319		0.0084
			0.0321		0.0084
			0.0316		0.0084
			0.0306		0.0081
			0.0323		0.0082
			0.0325		0.0079
			0.0321		0.008
			0.0317		0.0082
			0.0327		0.0079
			0.0342		0.0078
			0.035		0.0084
			0.0325		0.0084
			0.0319		0.0085
			0.0318		0.0072
			0.0334		0.0068
			0.0316		0.0073
			0.0314		0.008
			0.0311		0.0078
			0.032		0.008
			0.0313		0.0082
			0.0325		0.0084
			0.0315		0.0082
			0.0316		0.0082
			0.0308		0.0084
			0.0347		0.0084
			0.0315		0.0075
			0.0328		0.0071
			0.0314		0.008
			0.0323		0.0081
			0.0318		0.0081
			0.0325		0.0087
			0.0311		0.0092
			0.0786		0.0115
			0.0827		0.0112
			0.0832		0.0105
			0.1437		0.0086
			0.1119		0.0086
			0.105		0.0091
			0.0816		0.0093
			0.1536		0.0093
			0.1532		0.0092
			0.0771		0.0092
			0.0786		0.0092
			0.0809		0.0091
			0.0777		0.0092
			0.0769		0.0091
			0.0743		0.0093
			0.109		0.0085
			0.0647		0.0087
			0.0371		0.0084
			0.0365		0.0083
			0.0369		0.0084
			0.0347		0.0084
			0.035		0.0086
			0.0338		0.0089
			0.0343		0.0085
			0.0336		0.0082
			0.0344		0.0082
			0.0329		0.008
			0.0332		0.0085
			0.0318		0.0082
			0.0317		0.0083
			0.0304		0.0082
			0.0317		0.0084
			0.0297		0.0078
			0.0313		0.0084
			0.03		0.0083
			0.0317		0.0083
			0.0296		0.0084
			0.0315		0.0081
			0.0298		0.0079
			0.0313		0.0083
			0.0303		0.0079
			0.0309		0.0082
			0.0301		0.0084
			0.031		0.0089
			0.0305		0.0084
			0.0314		0.0082
			0.0302		0.0079
			0.032		0.0082
			0.0303		0.007
			0.03		0.0066
			0.0298		0.008
			0.0302		0.0082
			0.0299		0.0082
			0.0313		0.0082
			0.0307		0.0082
			0.0325		0.0082
			0.0559		0.0087
			0.0573		0.0083
			0.0577		0.0084
			0.059		0.0084
			0.0588		0.0084
			0.0683		0.0087
			0.1678		0.0075
			0.0636		0.0069
			0.0574		0.008
			0.0583		0.0087
			0.0627		0.0088
			0.0577		0.0086
			0.0581		0.0088
			0.0578		0.0087
			0.0578		0.0086
			0.0891		0.0084
			0.1205		0.0085
			0.0551		0.0086
			0.056		0.009
			0.0554		0.0085
			0.0571		0.0082
			0.0564		0.0078
			0.1969		0.0082
			0.0526		0.0081
			0.0567		0.0081
			0.0536		0.0079
			0.0555		0.0081
			0.0913		0.0076
			0.0542		0.0082
			0.0354		0.0073
			0.0336		0.0077
			0.0321		0.0072
			0.033		0.0077
			0.0318		0.0071
			0.0331		0.0078
			0.031		0.0073
			0.0323		0.0078
			0.0321		0.0077
			0.0319		0.0077
			0.0316		0.0076
			0.0323		0.0082
			0.0312		0.0075
			0.0322		0.0077
			0.0321		0.008
			0.0333		0.0074
			0.0315		0.0071
			0.0317		0.0074
			0.0315		0.007
			0.0312		0.0074
			0.0301		0.0073
			0.0307		0.0076
			0.0309		0.008
			0.0309		0.0081
			0.0309		0.0077
			0.0305		0.0077
			0.0299		0.0081
			0.0316		0.0082
			0.0305		0.007
			0.0324		0.0064
			0.0309		0.006
			0.0307		0.0073
			0.0307		0.0072
			0.0306		0.0074
			0.0306		0.0074
			0.0464		0.0076
			0.0461		0.0082
			0.0495		0.0088
			0.0486		0.0068
			0.0505		0.0063
			0.2116		0.0066
			0.0438		0.0076
			0.0458		0.0072
			0.051		0.0075
			0.0467		0.0073
			0.0461		0.0073
			0.0481		0.0074
			0.093		0.0074
			0.5074		0.0072
			0.0441		0.0077
			0.0453		0.0074
			0.0442		0.0075
			0.2988		0.0074
			0.0442		0.0074
			0.0455		0.0074
			0.0464		0.0076
			0.0462		0.0074
			0.1337		0.0072
			0.0437		0.0076
			0.0442		0.0074
			0.05		0.0075
			0.0443		0.0069
			0.0456		0.0075
			0.046		0.007
			0.0458		0.0074
			0.0449		0.007
			0.0454		0.0073
			0.0437		0.0072
			0.0449		0.0074
			0.0444		0.0068
			0.0458		0.0075
			0.0444		0.0074
			0.0454		0.0072
			0.043		0.0071
			0.0483		0.0074
			0.0424		0.007
			0.1832		0.0075
			0.0434		0.0068
			0.0816		0.0075
			0.0465		0.0069
			0.035		0.0068
			0.0327		0.007
			0.032		0.0071
			0.0311		0.0073
			0.0316		0.0071
			0.0313		0.0078
			0.0322		0.0079
			0.0305		0.0065
			0.0321		0.0059
			0.0303		0.0065
			0.0319		0.0067
			0.0306		0.007
			0.0307		0.0069
			0.0298		0.0068
			0.0314		0.0069
			0.0368		0.007
			0.0403		0.0074
			0.0389		0.0063
			0.0381		0.0059
			0.0388		0.007
			0.0376		0.0077
			0.0391		0.0074
			0.0385		0.0073
			0.0391		0.0074
			0.0382		0.0073
			0.0384		0.0074
			0.0371		0.0076
			0.0387		0.0077
			0.0385		0.0074
			0.0393		0.0074
			0.0384		0.0076
			0.0383		0.0075
			0.0387		0.0076
			0.0386		0.0082
			0.0384		0.0076
			0.0616		0.0077
			0.0387		0.0077
			0.0402		0.0077
			0.0398		0.0074
			0.0408		0.0075
			0.0395		0.0072
			0.0409		0.0077
			0.0418		0.0073
